Chapters,Favs,Follows,Published,Reviews,Updated,Words,author,characters,genre,language,rating,story_link,synopsis,title,published_mmyy,pairing
3, 92, 127, 12/29/2019,26.0, 1/5," 5,352",Isys Luna Skeeter,"[Harry P., Tom R. Jr.] Rodolphus L., Teddy L.",Romance/Family,English,M,https://www.fanfiction.net/s/13464568/1/DILF,"After two decades where no one would even look at him, Harry finds a rich family of one Father and his toddler Son who accepts him full heartedly. It was perfect. Even if the Father had some strange kinks... If only life was that simple",DILF,12-2019,"Harry P., Tom R. Jr."
2, 1,, 12/29/2019,1.0,," 2,410",LilyBlack18,,Romance/Family,English,T,https://www.fanfiction.net/s/13464566/1/Disillusion,"We all have dreams. Hopes. But disillusion isn't always a bad thing… And sometimes, you even get a better happy ending than you were expecting.",Disillusion,12-2019,
1, 4, 2, 12/29/2019,2.0,," 1,555",reviews,"Harry P., Ron W., Hermione G.",Drama,French,T,https://www.fanfiction.net/s/13464565/1/Les-trois-du-trio-d-or,"Séparés, ils ne sont qu'un garçon dans un placard, une Miss Je-Sais-Tout et un sixième frère. Mais ensemble, même si le monde s'écroule et qu'il n'en reste plus rien, ils sont le trio d'or. OS",Les trois du trio d'or,12-2019,
3, 2, 3, 12/29/2019,, 1/2," 6,417",Apuleia,"James P., Lily Evans P., Bellatrix L.",Drama/Friendship,English,M,https://www.fanfiction.net/s/13464558/1/Requital,The dead must find their place in a complicated new world. Bellatrix is given an opportunity to confront her most dangerous enemy.,Requital,12-2019,
1,,, 12/29/2019,1.0,," 6,245",reviews,,Romance/Friendship,English,T,https://www.fanfiction.net/s/13464553/1/in-the-dawning-light,How Hermione and Krum fell for each other. (title by mumford and sons),in the dawning light,12-2019,
22, 12, 12, 12/29/2019,28.0, 1/3," 11,897",Dawny Snape,"Hermione G., Severus S.",Romance/Drama,Spanish,M,https://www.fanfiction.net/s/13464548/1/SIN-RETORNO,Hermione ha regresado en el tiempo por unas dos horas después de ver el cuerpo de Severus y Remus muertos. Cuida de su agrio profesor hasta que se enteran que él vive con ella obligandolos a contraer matrimonio. Una niña pequeña logrará ablandar el corazón de Severus?,SIN RETORNO,12-2019,
1, 2, 1, 12/29/2019,,," 5,117",RonsGirlFriday,"Sirius B., Remus L., James P., Lily Evans P.",Drama/Angst,English,M,https://www.fanfiction.net/s/13464545/1/A-Patient-Wolf,"""A gentleman is simply a patient wolf."" (Lana Turner). A series of vignettes marking the passage of time in an unrequited Remus/James.",A Patient Wolf,12-2019,
13, 13, 17, 12/29/2019,29.0, 4h," 14,919",Lili76,"Harry P., Draco M.",,French,K+,https://www.fanfiction.net/s/13464543/1/If-You-Dare-6,"Nouvelle année à Poudlard. Harry trouve un nouveau centre d'intérêt, une nouvelle obsession. Ce n'est pas de sa faute s'il est certain que Malefoy est un Mangemort et qu'il cache quelque chose. Le blond n'avait pas à l'ignorer en premier lieu ! C'est le Serpentard qui a le premier cessé leurs disputes... Pas lui. D'après lui, cette nouvelle obsession n'est pas de son fait. Drarry",If You Dare 6,12-2019,
1,,, 12/29/2019,,," 1,327",Checkmate01,,Crime/Drama,Spanish,M,https://www.fanfiction.net/s/13464542/1/Aula-3C,"Cuando una broma sale mal y termina en homicidio, una aleada de pánico se esparce por el alumnado de Hogwarts. Los culpables se rigen por una regla: discreción, y esperanzados, ruegan salir impunes. Advertencia: fuera del personaje.",Aula 3C,12-2019,
1, 1, 4, 12/29/2019,6.0,," 6,723",reviews,"Albus S. P., Scorpius M.",Romance/Friendship,French,T,https://www.fanfiction.net/s/13464514/1/All-is-found,"(UA) Les existences d'Albus et Scorpius ne se sont jamais croisées, l'un à Gryffondor, l'autre à Serpentard, jusqu'au jour où Albus en décide autrement. Alors que Scorpius doit faire face à l'intrusion du Ministère de la Magie dans sa vie et dans sa famille, il est loin d'imaginer avoir autant besoin de l'influence des Potter.",All is found,12-2019,
4, 20, 50, 12/29/2019,23.0, 1/5," 13,192",Bramling,"[Hermione G., Severus S.]",Hurt/Comfort/Romance,English,M,https://www.fanfiction.net/s/13464497/1/Lighthouse,"The aftermath of war is a time for healing, rebuilding and finding light within the darkness - but how are there still so many secrets and why is Hogwarts more dangerous than ever before? Hermione centric, focusing on overcoming trauma, social stigma and trying to salvage a life worth living. Will contain dark themes and trigger warnings ahead of relevant chapters. Slow burn SS/HG.",Lighthouse,12-2019,"Hermione G., Severus S."
1, 80, 23, 12/29/2019,8.0,," 3,672",reviews,"[Draco M., Hermione G.]",Romance/Humor,English,M,https://www.fanfiction.net/s/13464457/1/You-First,"He met her gaze, ""So... How long have you wanted to do that?"" Hermione gave Draco her best Slytherin smirk and she pressed a gentle kiss to his bruised lips, ""You first."" Smutty one-shot inspired by some Dramione fan art.",You First,12-2019,"Draco M., Hermione G."
8, 10, 26, 12/29/2019,5.0, 1/8," 15,538",jooblee,"Harry P., Hermione G., Sirius B., Remus L.",Hurt/Comfort/Romance,English,M,https://www.fanfiction.net/s/13464448/1/A-Death-A-Child-A-Marriage,"The war has just ended when tragedy strikes. Ronald Weasley has been murdered and Hermione takes it upon herself to seek revenge. However, this time she's not alone, as Remus, Sirius and Harry decide to help her on her treacherous mission. Hermione unexpectedly finds the love of her life along the way.","A Death, A Child, A Marriage",12-2019,
31, 19, 15, 12/29/2019,5.0, 12/30/2019," 42,993",laquenodebeserleida,"Harry P., Hermione G., Draco M., Neville L.",Romance,Spanish,M,https://www.fanfiction.net/s/13464441/1/Noche-Tentadora-Dramione,"""Si no hubiera sido por aquel largo apagón... nunca habría vivido el encuentro sexual más increíble de su vida"". IMPORTANTE: Esta historia NO es de mi autoría. Es una adaptación. Todos los créditos a Jennifer LaBrecque, quien creó esta maravillosa historia.",Noche Tentadora (Dramione),12-2019,
1, 37, 30, 12/29/2019,7.0,," 5,560",reviews,"[Hermione G., Draco M.]",Romance,English,M,https://www.fanfiction.net/s/13464434/1/Dragon-Whiskers,"""Do you think this is my notion of how I'd like to spend winter solstice? Maybe even Christmas week? I'm as delighted as you are!"" Dragons, adult!Dramione, bed-sharing; Written for D/Hr Advent 2019; COMPLETE",Dragon Whiskers,12-2019,"Hermione G., Draco M."
2, 94, 237, 12/29/2019,64.0, 1/3," 7,897",Freya Ishtar,"[Hermione G., Sirius B.] Harry P., Kingsley S.",Romance/Angst,English,M,https://www.fanfiction.net/s/13464427/1/Consecration,"In bringing Sirius back, Hermione destroys the Arch. Cursed by its ancient power, she's possessed nightly by a dangerous magical force—one that might consume her if left unchecked. Dealing with the fallout of her actions while trying to free her, Sirius can think of only one means of helping her work off that ravenous nocturnal energy. *premise based on the manga Crimson Spell*",Consecration,12-2019,"Hermione G., Sirius B."
1, 2, 2, 12/29/2019,2.0,," 1,082",reviews,"Harry P., Draco M.",,French,K,https://www.fanfiction.net/s/13464410/1/Training-for-the-ballet-Potter,Harry emmène Draco en boite pour la première fois. Drarry.,"Training for the ballet, Potter?",12-2019,
1, 16, 8, 12/29/2019,2.0,," 4,048",reviews,"[Harry P., Hermione G., Draco M.]",Romance,English,M,https://www.fanfiction.net/s/13464376/1/The-one-where-nobody-s-crying-in-Moaning-Myrtle-s-bathroom,"A prefect's round that ends in the best way possible, where a snake discovers the taste of lions. Welcome to the post-war era. 8th year. PWP [HP/DM/HG] [Rated M] Series (in french): Tempt the devil, tempt the forbidden Warning: Translation of chapter 1 from my long fic ""Jamais deux sans trois""",The one where nobody's crying in Moaning Myrtle's bathroom,12-2019,"Harry P., Hermione G., Draco M."
16, 8, 7, 12/29/2019,2.0, 1/2," 36,802",LouiseK150159,"Harry P., Severus S., OC, Q. Quirrell",Angst/Adventure,English,M,https://www.fanfiction.net/s/13464369/1/The-Two-Faced-Reflection,"1/7. The Lestange heir has just started her first year at Hogwarts and she's like nothing anyone has seen before. Due to unforeseen circumstances this 11-year-old girl now has to prove herself to regain what has been taken from her; She finds herself doing things she would have never imagined, It's hard being a dark little witch in a bright new world. Dark themes.",The Two Faced Reflection,12-2019,
8, 1, 1, 12/29/2019,1.0, 10h," 66,621",Su.Snape,,Romance/Humor,Portuguese,M,https://www.fanfiction.net/s/13464365/1/Avesso,"A guerra acabou há mais de quatro anos e alguns alunos de Hogwarts foram selecionados para fazer suas especializações em Durmstrang, que funciona como uma universidade bruxa. Talentoso, inteligente e festeiro, Draco Malfoy sempre consegue o que quer. Isso até uma única noite, que uma velha conhecida cheia de personalidade, vira o mundo dele de cabeça para baixo.",Avesso,12-2019,
6, 5, 7, 12/29/2019,10.0, 1/3," 4,412",memepotter952504,,Romance,French,M,https://www.fanfiction.net/s/13464344/1/Romances-hasardeuses-en-folie,"Ateliers d'écriture de la communauté 'La Folie des Fanfics'. Recueil de 6 OS, chacun sur un couple.",Romances hasardeuses en folie,12-2019,
