Chapters,Favs,Follows,Published,Reviews,Updated,Words,Author,Characters,Genre,Language,Rating,Story_link,Synopsis,Title,Pairing
3,2,6,2019-12-31,0.0,2019-12-31,3506,fadeoutra,"BartyC.Jr.,OC",Romance/Drama,English,T,https://www.fanfiction.net/s/13466344/1/Darkly-Marked,"Years ago June Harper pined for Barty Crouch Jr., her charismatic classmate and occasional tutor at Hogwarts. He was everything she wanted— until he was sent to Azkaban to perish, leaving June to question everything she thought she knew about him. Now he's back, a Death Eater with blood on his hands, yet old feelings resurface once more. Do the marks he left on her heart remain?",Darkly Marked,"Barty C. Jr., OC"
1,2,0,2019-12-31,1.0,2019-12-31,877,Wrong author,"SiriusB.,RegulusB.",Hurt/Comfort/Family,Spanish,K+,https://www.fanfiction.net/s/13466329/1/%C3%9Altimo-deseo-de-Navidad,"Quería tener una última Navidad con su hermano; pero sabía que era un deseo, una añoranza que no se iba a cumplir",Último deseo de Navidad,No specified pairings
1,2,0,2019-12-31,0.0,2019-12-31,1665,MarleneMcKinnonBlack,"OrionB.,WalburgaB.SiriusB.",Family/Hurt/Comfort,Spanish,T,https://www.fanfiction.net/s/13466299/1/Padfoot,"Mientras el leño de Yule se consume en la chimenea, un pequeño Sirius intenta ser valiente, por suerte mamá y papá estan allí para protegerlo. Este fic participa en el Reto #41""ABC Navideño"" del foro ""Hogwarts a través de los años"".",Padfoot,"Orion B., Walburga B."
1,4,2,2019-12-31,2.0,2019-12-31,2873,Wrong author,"JamesP.,LilyEvansP.",Unspecified Genre,English,K,https://www.fanfiction.net/s/13466289/1/A-New-Year-s-Eve-Confession,"Canon universe, fluffy one-shot. Marauders-era Hogwarts students attend a New Year's Eve party and James learns that maybe this is the year he'll have a shot with Lily Evans.",A New Year's Eve Confession,No specified pairings
1,4,1,2019-12-31,2.0,2019-12-31,1782,Wrong author,"HarryP.,HermioneG.,GinnyW.",Drama/Tragedy,English,T,https://www.fanfiction.net/s/13466239/1/The-Aftermath-Articles,"After Ginny's death, a series of newspaper articles detail the beginning of the Wizarding World existence being exposed. COMPANION PIECE TO ""A DAY TO DIE.""",The Aftermath Articles,No specified pairings
1,58,10,2019-12-31,12.0,2019-12-31,1470,Wrong author,"JamesP.,LilyEvansP.",Romance/Humor,English,T,https://www.fanfiction.net/s/13466230/1/Up-on-the-Rooftop,"James and Lily close out 1977 on the Hogwarts rooftop. [Lily/James, NYE drabble]",Up on the Rooftop,No specified pairings
2,17,40,2019-12-31,13.0,2019-12-31,2872,Peanutbuttertoast1,"HermioneG.,DracoM.HarryP.,GinnyW.",Angst/Romance,English,K+,https://www.fanfiction.net/s/13466212/1/A-Year-In-The-Life,Holidays are always a time for reflection...follow Hermione on a Holiday journey a Year in her life...,A Year In The Life,"Hermione G., Draco M."
1,4,3,2019-12-31,0.0,2019-12-31,1940,Books0140,Unspecified Characters,Angst/Hurt/Comfort,English,M,https://www.fanfiction.net/s/13466206/1/How-Did-We-Miss-This,"What if Minerva, Severus and Albus found out about what Delores was doing in Harry's detentions? 5th year. AU obviously. Mild Swearing don't like don't read",How Did We Miss This?,No specified pairings
1,11,4,2019-12-31,5.0,2019-12-31,2913,Wrong author,"HarryP.,SiriusB.,AlbusD.,MollyW.",Angst/Drama,English,K,https://www.fanfiction.net/s/13466200/1/Behind-closed-doors,"After spending most of the summer with the Dursleys, Harry arrives at Grimmauld Place and overhears the members of the Order of the Phoenix talking about him. What happens, when Harry doesn't just accept that Dumbledore wants to keep him in the dark? One-shot",Behind closed doors,No specified pairings
2,20,4,2019-12-31,0.0,2019-12-31,8411,everlovingdeer,"RemusL.,OC",Romance/Hurt/Comfort,English,T,https://www.fanfiction.net/s/13466199/1/Love-Laid-to-Rest,"""Sirius also mentioned something about little feet?"" ""He somehow got it into his head that when he got out of Azkaban he'd come back to nieces and nephews."" ""Well,"" he started slowly, not looking as shocked or even as repulsed as I'd initially thought he would. ""Do you think he would have? Had nieces and nephews by now, if we hadn't split?""",Love Laid to Rest,"Remus L., OC"
